site,keyword,name,price_rp,price_text,author,time_text,comments,shares,description,url,is_question,group,scraped_at
facebook_marketplace,RTX 3050,SELESAI QUERY: RTX 3050,,,,,,,listing query ini: 0,https://www.facebook.com/marketplace/112901358726709/search/?query=RTX%203050,,,2026-08-24T11:41:17.729095+00:00
facebook_marketplace,RTX 3060,SELESAI QUERY: RTX 3060,,,,,,,listing query ini: 0,https://www.facebook.com/marketplace/112901358726709/search/?query=RTX%203060,,,2026-08-24T11:44:25.586577+00:00
facebook_marketplace,RTX 3060 Ti,SELESAI QUERY: RTX 3060 Ti,,,,,,,listing query ini: 0,https://www.facebook.com/marketplace/112901358726709/search/?query=RTX%203060%20Ti,,,2026-08-24T11:47:32.403673+00:00
facebook_marketplace,RTX 3070,SELESAI QUERY: RTX 3070,,,,,,,listing query ini: 0,https://www.facebook.com/marketplace/112901358726709/search/?query=RTX%203070,,,2026-08-24T11:50:39.355499+00:00
facebook_marketplace,RTX 4060,SELESAI QUERY: RTX 4060,,,,,,,listing query ini: 0,https://www.facebook.com/marketplace/112901358726709/search/?query=RTX%204060,,,2026-08-24T11:53:45.325395+00:00
facebook_marketplace,RTX 4060 Ti,SELESAI QUERY: RTX 4060 Ti,,,,,,,listing query ini: 0,https://www.facebook.com/marketplace/112901358726709/search/?query=RTX%204060%20Ti,,,2026-08-24T11:56:51.586582+00:00
facebook_marketplace,RTX 4070,SELESAI QUERY: RTX 4070,,,,,,,listing query ini: 0,https://www.facebook.com/marketplace/112901358726709/search/?query=RTX%204070,,,2026-08-24T11:59:58.997249+00:00
facebook_marketplace,RX 5500 XT,SELESAI QUERY: RX 5500 XT,,,,,,,listing query ini: 0,https://www.facebook.com/marketplace/112901358726709/search/?query=RX%205500%20XT,,,2026-08-24T12:01:16.641905+00:00
facebook_marketplace,RX 5600 XT,SELESAI QUERY: RX 5600 XT,,,,,,,listing query ini: 0,https://www.facebook.com/marketplace/112901358726709/search/?query=RX%205600%20XT,,,2026-08-24T12:03:57.424236+00:00
facebook_marketplace,RX 5700,SELESAI QUERY: RX 5700,,,,,,,listing query ini: 0,https://www.facebook.com/marketplace/112901358726709/search/?query=RX%205700,,,2026-08-24T12:07:05.122505+00:00
facebook_marketplace,RX 5700 XT,SELESAI QUERY: RX 5700 XT,,,,,,,listing query ini: 0,https://www.facebook.com/marketplace/112901358726709/search/?query=RX%205700%20XT,,,2026-08-24T12:07:39.623794+00:00
